epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.30716,1.15857,3.11131,1.39174,0.01653,0.9447,0.33615,0.2282,0.9967,3.04787,0.95667,0.00012861,0.00012861,0.00012861
2,7.24984,0.99381,2.27798,1.22908,0.01629,0.98017,0.35058,0.24149,1.0324,2.72484,0.99394,0.00026479,0.00026479,0.00026479
3,9.66742,0.97105,1.86023,1.21131,0.3512,0.56332,0.4521,0.32777,0.96871,2.5345,0.92813,0.000393897,0.000393897,0.000393897
4,12.3802,1.01976,1.52111,1.25509,0.83041,0.46704,0.67639,0.4717,1.07213,2.20103,1.04264,0.00051593,0.00051593,0.00051593
5,15.25,1.07092,1.28587,1.25964,0.72539,0.44598,0.71655,0.4209,1.24353,2.24281,1.09909,0.000630889,0.000630889,0.000630889
6,18.4774,1.0156,1.15063,1.22711,0.7198,0.60954,0.6865,0.50387,0.88545,1.94571,0.95778,0.000738775,0.000738775,0.000738775
7,22.0309,1.00844,1.14254,1.23457,0.9186,0.6736,0.90229,0.64338,1.01083,1.74147,1.02263,0.000839588,0.000839588,0.000839588
8,26.4669,1.09933,1.18024,1.29752,0.95791,0.781,0.95136,0.68772,0.97419,1.58195,1.01156,0.000933326,0.000933326,0.000933326
9,31.8321,0.94223,1.00032,1.17225,0.93408,0.89742,0.96359,0.75315,0.83262,1.15207,0.96947,0.00101999,0.00101999,0.00101999
10,38.2922,1.05435,1.09061,1.24999,0.9511,0.94722,0.98614,0.71849,0.95184,1.02,1.05721,0.00109958,0.00109958,0.00109958
11,48.6358,1.00872,1.03163,1.23069,0.96141,0.94381,0.97941,0.7599,0.82488,0.90781,0.98548,0.00107532,0.00107532,0.00107532
12,61.6874,0.92884,0.93122,1.15794,0.95894,0.96747,0.99032,0.76339,0.85801,0.82554,0.98494,0.00103995,0.00103995,0.00103995
13,76.0595,1.03819,1.0067,1.26238,0.95132,0.95508,0.97929,0.71717,1.00882,0.86442,1.06569,0.00100459,0.00100459,0.00100459
14,90.5225,0.98536,0.98257,1.23403,0.99104,0.98354,0.99188,0.74741,0.91835,0.79586,1.03153,0.000969219,0.000969219,0.000969219
15,106.151,0.92101,0.86455,1.15008,0.99091,0.99435,0.99408,0.73656,0.96358,0.66987,1.02551,0.000933851,0.000933851,0.000933851
16,118.258,0.95909,0.9353,1.21937,0.99013,0.9936,0.99441,0.7276,1.02181,0.6926,1.05182,0.000898484,0.000898484,0.000898484
17,132.53,0.96607,0.87419,1.1781,0.9978,0.98599,0.99403,0.80583,0.74914,0.62626,0.94493,0.000863116,0.000863116,0.000863116
18,147.197,0.97786,0.8638,1.17863,0.98149,0.98727,0.99278,0.73141,0.96167,0.66264,1.01792,0.000827748,0.000827748,0.000827748
19,161.51,0.90246,0.86864,1.18092,0.98831,0.9932,0.99083,0.81788,0.68813,0.60311,0.93538,0.00079238,0.00079238,0.00079238
20,176.828,0.93477,0.87265,1.20867,0.97744,0.96094,0.99394,0.80908,0.73131,0.59865,0.94481,0.000757013,0.000757013,0.000757013
21,191.084,0.85501,0.83529,1.13746,0.96953,0.96464,0.98998,0.80676,0.73393,0.59273,0.94746,0.000721645,0.000721645,0.000721645
22,205.92,0.91919,0.80992,1.16634,0.97644,0.96266,0.9896,0.66904,1.22263,0.72666,1.17095,0.000686277,0.000686277,0.000686277
23,224.481,0.88413,0.83888,1.18859,0.99106,0.97656,0.99109,0.72336,1.03446,0.65836,1.08693,0.000650909,0.000650909,0.000650909
24,238.878,0.92084,0.85451,1.21781,0.98235,0.97501,0.98754,0.6872,1.15424,0.69599,1.11697,0.000615542,0.000615542,0.000615542
25,256.725,0.88653,0.80326,1.15139,0.99711,0.9746,0.98925,0.69363,1.13522,0.61879,1.09188,0.000580174,0.000580174,0.000580174
26,273.903,0.87188,0.74815,1.13449,0.99023,0.98534,0.98888,0.80446,0.75043,0.51152,0.93238,0.000544806,0.000544806,0.000544806
27,291.848,0.8631,0.78689,1.19913,0.99809,0.97468,0.99292,0.81626,0.72533,0.52625,0.92421,0.000509438,0.000509438,0.000509438
28,308.375,0.83346,0.75002,1.12136,0.99292,0.98648,0.98814,0.81181,0.73279,0.51822,0.93134,0.000474071,0.000474071,0.000474071
29,329.025,0.90267,0.76945,1.17903,0.99263,0.98608,0.988,0.81153,0.72376,0.50641,0.93492,0.000438703,0.000438703,0.000438703
30,347.734,0.84693,0.74562,1.11125,0.99071,0.98422,0.98768,0.82427,0.66212,0.48923,0.92957,0.000403335,0.000403335,0.000403335
31,376.22,0.72671,0.83026,1.06611,0.99434,0.96331,0.98419,0.83597,0.60319,0.52402,0.91518,0.000367967,0.000367967,0.000367967
32,391.072,0.72436,0.74406,1.0915,0.9892,0.93906,0.97145,0.79764,0.713,0.62056,0.94107,0.0003326,0.0003326,0.0003326
33,405.183,0.6838,0.78028,1.03133,0.99717,0.94351,0.97005,0.7688,0.82602,0.57068,0.96922,0.000297232,0.000297232,0.000297232
34,421.384,0.76944,0.70796,1.10714,0.99685,0.94615,0.96553,0.76811,0.81491,0.57318,0.96611,0.000261864,0.000261864,0.000261864
35,435.346,0.75872,0.70059,1.11513,0.99599,0.94615,0.95774,0.76891,0.80042,0.58924,0.96785,0.000226497,0.000226497,0.000226497
36,446.097,0.79231,0.71071,1.1076,0.99685,0.94478,0.95532,0.76301,0.82147,0.60427,0.98309,0.000191129,0.000191129,0.000191129
37,458.036,0.71032,0.68093,1.05066,0.99501,0.94489,0.96506,0.79437,0.74428,0.56712,0.95705,0.000155761,0.000155761,0.000155761
38,468.229,0.7576,0.68206,1.07251,0.99754,0.9405,0.97903,0.83898,0.62769,0.51115,0.91759,0.000120393,0.000120393,0.000120393
39,478.327,0.75866,0.68078,1.06727,0.99662,0.9405,0.98316,0.84779,0.60097,0.48863,0.90628,8.50255e-05,8.50255e-05,8.50255e-05
40,487.027,0.71973,0.72585,1.02614,0.99755,0.94133,0.98322,0.85168,0.58234,0.47501,0.89782,4.96578e-05,4.96578e-05,4.96578e-05
